timeStamp,elapsed,label,responseCode,responseMessage,dataType,success,grpThreads,allThreads,Latency,Hostname
1448412153741,171,Register User,200,OK,text,false,1,1,171,ip-172-31-5-218
1448412153920,35,User Login,200,OK,text,true,1,1,26,ip-172-31-5-218
1448412153958,13,Update Contact Info,200,OK,text,true,1,1,13,ip-172-31-5-218
1448412153973,8,Logout,200,OK,text,true,1,1,7,ip-172-31-5-218
1448412153982,12,User Login,200,OK,text,true,1,1,12,ip-172-31-5-218
1448412153996,56,Get Product Info,200,OK,text,true,1,1,44,ip-172-31-5-218
1448412154053,7,Buy Product,200,OK,text,false,1,1,7,ip-172-31-5-218
