timeStamp,elapsed,label,responseCode,responseMessage,dataType,success,grpThreads,allThreads,Latency,Hostname
1448353191860,69,Register User,200,OK,text,false,319,319,69,ip-172-31-5-218
1448353191852,82,Register User,200,OK,text,false,319,319,75,ip-172-31-5-218
1448353191515,420,Register User,200,OK,text,false,319,319,420,ip-172-31-5-218
1448353191689,238,Register User,200,OK,text,false,319,319,238,ip-172-31-5-218
1448353191892,48,Register User,200,OK,text,false,319,319,42,ip-172-31-5-218
1448353191884,74,Register User,200,OK,text,false,320,320,74,ip-172-31-5-218
1448353191850,116,Register User,200,OK,text,false,320,320,116,ip-172-31-5-218
1448353191865,101,Register User,200,OK,text,false,320,320,101,ip-172-31-5-218
1448353191941,28,User Login,200,OK,text,true,320,320,14,ip-172-31-5-218
1448353191935,36,User Login,200,OK,text,true,320,320,12,ip-172-31-5-218
1448353191948,35,Register User,200,OK,text,false,320,320,18,ip-172-31-5-218
1448353191972,28,Update Contact Info,200,OK,text,true,325,325,28,ip-172-31-5-218
1448353191949,58,Register User,200,OK,text,false,328,328,58,ip-172-31-5-218
1448353191960,48,User Login,200,OK,text,true,328,328,48,ip-172-31-5-218
1448353191971,41,User Login,200,OK,text,true,328,328,15,ip-172-31-5-218
1448353192001,13,Logout,200,OK,text,true,328,328,13,ip-172-31-5-218
1448353192009,8,Update Contact Info,200,OK,text,true,328,328,8,ip-172-31-5-218
1448353191968,51,User Login,200,OK,text,true,328,328,51,ip-172-31-5-218
1448353191958,62,Register User,200,OK,text,false,328,328,62,ip-172-31-5-218
1448353191984,38,User Login,200,OK,text,true,328,328,25,ip-172-31-5-218
1448353192020,12,Update Contact Info,200,OK,text,true,329,329,12,ip-172-31-5-218
1448353191531,501,Register User,200,OK,text,false,329,329,501,ip-172-31-5-218
1448353192023,36,Update Contact Info,200,OK,text,true,329,329,13,ip-172-31-5-218
1448353192008,55,User Login,200,OK,text,true,329,329,55,ip-172-31-5-218
1448353191937,95,User Login,200,OK,text,true,329,329,95,ip-172-31-5-218
1448353192021,46,User Login,200,OK,text,true,329,329,46,ip-172-31-5-218
1448353192019,42,User Login,200,OK,text,true,330,330,42,ip-172-31-5-218
1448353192064,8,Update Contact Info,200,OK,text,true,330,330,8,ip-172-31-5-218
1448353192062,45,Logout,200,OK,text,true,331,331,45,ip-172-31-5-218
1448353192071,36,Update Contact Info,200,OK,text,true,331,331,36,ip-172-31-5-218
1448353191973,97,Update Contact Info,200,OK,text,true,331,331,97,ip-172-31-5-218
1448353192073,36,Logout,200,OK,text,true,331,331,36,ip-172-31-5-218
1448353191990,120,Register User,200,OK,text,false,331,331,120,ip-172-31-5-218
1448353192062,50,Register User,200,OK,text,false,331,331,50,ip-172-31-5-218
1448353192017,96,Update Contact Info,200,OK,text,true,331,331,96,ip-172-31-5-218
1448353192010,106,Register User,200,OK,text,false,331,331,106,ip-172-31-5-218
1448353192061,54,User Login,200,OK,text,true,331,331,54,ip-172-31-5-218
1448353192018,95,Logout,200,OK,text,true,331,331,95,ip-172-31-5-218
1448353192064,54,Update Contact Info,200,OK,text,true,331,331,54,ip-172-31-5-218
1448353192114,8,Logout,200,OK,text,true,331,331,8,ip-172-31-5-218
1448353192061,72,Logout,200,OK,text,true,331,331,72,ip-172-31-5-218
1448353192109,20,Logout,200,OK,text,true,331,331,20,ip-172-31-5-218
1448353192084,55,Register User,200,OK,text,false,331,331,55,ip-172-31-5-218
1448353192110,35,Logout,200,OK,text,true,331,331,35,ip-172-31-5-218
1448353192125,22,Logout,200,OK,text,true,331,331,22,ip-172-31-5-218
