timeStamp,elapsed,label,responseCode,responseMessage,dataType,success,grpThreads,allThreads,Latency,Hostname
1448351747858,50369,Register User,200,OK,text,false,3,3,50366,ip-172-31-5-218
1448351747814,50410,Register User,200,OK,text,false,3,3,50410,ip-172-31-5-218
1448351798231,7,User Login,200,OK,text,false,3,3,7,ip-172-31-5-218
1448351798231,9,User Login,200,OK,text,false,3,3,9,ip-172-31-5-218
1448351798240,5,Update Contact Info,200,OK,text,false,3,3,5,ip-172-31-5-218
1448351798241,6,Update Contact Info,200,OK,text,false,3,3,6,ip-172-31-5-218
1448351798246,6,Logout,200,OK,text,false,3,3,6,ip-172-31-5-218
1448351798248,5,Logout,200,OK,text,false,3,3,5,ip-172-31-5-218
1448351798253,6,User Login,200,OK,text,false,3,3,6,ip-172-31-5-218
1448351798254,7,User Login,200,OK,text,false,3,3,7,ip-172-31-5-218
1448351798262,10,Get Product Info,200,OK,text,true,3,3,10,ip-172-31-5-218
1448351798273,5,Buy Product,200,OK,text,false,3,3,5,ip-172-31-5-218
1448351798261,42,Get Product Info,200,OK,text,true,2,2,42,ip-172-31-5-218
1448351798304,5,Buy Product,200,OK,text,false,2,2,5,ip-172-31-5-218
1448351748186,51031,Register User,200,OK,text,false,1,1,51019,ip-172-31-5-218
1448351799218,7,User Login,200,OK,text,false,1,1,7,ip-172-31-5-218
1448351799227,5,Update Contact Info,200,OK,text,false,1,1,5,ip-172-31-5-218
1448351799233,6,Logout,200,OK,text,false,1,1,6,ip-172-31-5-218
1448351799240,6,User Login,200,OK,text,false,1,1,6,ip-172-31-5-218
1448351799247,19,Get Product Info,200,OK,text,true,1,1,19,ip-172-31-5-218
1448351799267,5,Buy Product,200,OK,text,false,1,1,5,ip-172-31-5-218
